s,s,s,s,s,w,w,w,w,w,w,w,w,i,i,i,i,i,i,w,a,a,a,a,a
sx,s,s,s,sR,w,m,m,m,m,m,w,w,i,i,i,i,i,i,w,a,a,a,a,a
s,s,s,s,s,w,m,mx,m,m,m,w,w,i,i,ix,i,i,i,w,aL,a,a,a,a
s,s,s,s,s,w,m,m,m,m,m,m,w,i,i,i,i,i,i,w,a,ax,a,a,a
s,s,s,s,s,w,mD,m,m,m,m,m,w,i,i,i,i,i,i,w,a,a,a,a,a
s,s,s,sD,s,w,w,w,w,w,w,w,w,i,i,i,i,iD,i,w,a,a,a,a,a
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,a,a,aD,a,a
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
zU,z,z,z,w,w,w,w,w,y,y,y,y,y,y,w,w,w,k,k,k,k,k,k,k
z,z,z,z,z,z,w,w,w,y,y,yx,y,y,y,w,w,w,k,k,kx,k,k,k,k
z,z,z,z,z,z,w,w,w,y,y,y,y,y,y,w,w,w,kL,k,k,k,k,k,k
zx,z,z,z,w,w,w,w,w,y,y,y,y,y,y,w,w,w,k,k,k,k,w,w,w
z,z,z,z,w,w,w,w,w,y,y,y,y,y,y,w,w,w,k,k,k,k,w,w,w
z,z,z,z,z,z,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
z,z,z,z,z,z,w,w,w,w,w,w,rL,r,r,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,r,r,r,w,w,w,p,p,p,w,w,pU,p
d,d,d,d,d,d,dU,d,d,w,r,r,r,r,r,w,p,p,p,p,p,w,w,p,p
dx,d,d,d,d,d,d,d,d,w,r,r,r,r,r,w,p,p,p,p,p,w,w,p,p
d,d,d,d,d,d,d,d,d,w,r,rx,r,r,r,w,p,px,p,p,p,p,p,p,p
d,d,d,d,d,d,d,d,d,w,r,r,r,r,r,w,p,p,p,p,p,p,p,p,p
d,d,d,d,d,d,d,d,d,w,r,r,r,r,r,w,p,p,p,p,p,p,p,p,p
